First_name,Dance_style,Points,Yrs_practiced,Town,Age
Riin,Rythmic_Dance,20,12,Tallinn,20
Mia,Rythmic_Dance,7,3,Tartu,17
Loretta,Rythmic_Dance,10,5,Pärnu,15
Maria,Hip-Hop,10,7,Pärnu,10
Laureen,Rythmic_Dance,20,14,Tallinn,18
Vanessa,Rythmic_Dance,9,2,Tallinn,14
Elizabeth,Hip-Hop,5,1,Tartu,12
Birgit,Hip-Hop,20,6,Tartu,11
Riselle,Rythmic_Dance,10,4,Tartu,11
Annabel,Rythmic_Dance,11,4,Tartu,10
Emilia,Rythmic_Dance,9,2,Tartu,12
Sille,Hip-Hop,17,6,Pärnu,16
Eleri,Hip-Hop,17,8,Pärnu,17
Hanna,Hip-Hop,20,11,Pärnu,22
Karola,Rythmic_Dance,17,13,Tallinn,19
Karoliina,Rythmic_Dance,19,11,Tallinn,17
Lisette,Hip-Hop,17,13,Tartu,18
Sandra,Hip-Hop,15,8,Pärnu,16
Jana,Hip-Hop,16,10,Tallinn,15
Annika,Rythmic_Dance,8,4,Tallinn,14
Helve,Rythmic_Dance,14,7,Tallinn,14
