Student,Program,Course,Competency,Hours_Studied,Grade,,Student,avg Hours_Studied,,,Student,avg Grade,,,,,,
Alice,Informatics,Data Science,Statistics,12,88,,Ingrid,15,,,Ingrid,94.6,,,,,,
Alice,Informatics,Data Science,Programming,11,84,,Paula,14.5,,,Paula,93,,,,,,
Alice,Informatics,Data Science,Machine Learning,13,90,,Ella,14,,,Ella,92.2,,,,,,
Alice,Informatics,Data Science,Data Visualization,10,82,,Maria,14,,,Maria,91.4,,,,,,
Alice,Informatics,Data Science,Big Data,14,92,,Clara,13.5,,,Hugo,90.75,,,,,,
Bob,Informatics,Data Science,Statistics,10,75,,Hugo,13.5,,,Sandra,90,,,,,,
Bob,Informatics,Data Science,Programming,9,72,,Sandra,13.5,,,Clara,89.75,,,,,,
Bob,Informatics,Data Science,Machine Learning,14,80,,Leo,12.5,,,Leo,88.75,,,,,,
Bob,Informatics,Data Science,Data Visualization,8,70,,Alice,12,,,Alice,87.2,,,,,,
Bob,Informatics,Data Science,Big Data,11,77,,Tomas,12,,,Tomas,85.6,,,,,,
Clara,Education,Education,Pedagogy,14,92,,Frank,11.5,,,Frank,83.5,,,,,,
Clara,Education,Education,Assessment,12,85,,Oskar,11,,,Nikolai,82.5,,,,,,
Clara,Education,Education,Curriculum Design,13,89,,David,10.5,,,Oskar,80.8,,,,,,
Clara,Education,Education,Learning Analytics,15,93,,Nikolai,10.5,,,Gina,76.4,,,,,,
David,Education,Education,Pedagogy,10,70,,Bob,10.4,,,Ursula,76,,,,,,
David,Education,Education,Assessment,9,68,,Katrin,10,,,Katrin,75.2,,,MINIMUM,LOWER QUARTILE,UPPER QUARTILE,MAXIMUM
David,Education,Education,Curriculum Design,11,74,,Ursula,9.5,,,Bob,74.8,,GRADE,65,76,90,99
David,Education,Education,Learning Analytics,12,76,,Gina,9,,,David,72,,HOURS OF STUDYING,7,10,13.75,17
Ella,Informatics,Data Science,Statistics,15,95,,Rasmus,9,,,Rasmus,72,,,,,,
Ella,Informatics,Data Science,Programming,13,90,,Jack,8.5,,,Jack,70.5,,,,,,
Ella,Informatics,Data Science,Machine Learning,14,92,,,,,,,,,,,,,
Ella,Informatics,Data Science,Data Visualization,12,88,,,,,,,,,,,,,
Ella,Informatics,Data Science,Big Data,16,96,,,,,,,,,,,,,
Frank,Education,Education,Pedagogy,11,85,,,,,,,,,,,,,
Frank,Education,Education,Assessment,10,80,,,,,,,,,,,,,
Frank,Education,Education,Curriculum Design,12,83,,,,,,,,,,,,,
Frank,Education,Education,Learning Analytics,13,86,,,,,,,,,,,,,
Gina,Informatics,Data Science,Statistics,8,78,,,,,,,,,,,,,
